video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,thumbnail_url,view_count,like_count,comment_count,duration_seconds,definition,caption,privacy_status,upload_status,published_at_local,title_length,description_length,tag_count,like_ratio,comment_ratio,engagement_ratio,collected_at,collection_date,channel_category,title_word_count,description_word_count,duration_minutes,duration_category,category_name,subscriber_count,video_count,avg_views_per_video,channel_size,year,month,day,hour,day_of_week,day_of_year,week_of_year,is_weekend,quarter,publish_time_category,days_since_published,weeks_since_published,title_sentiment_polarity,title_sentiment_subjectivity,title_exclamation_count,title_question_count,title_caps_ratio,title_has_tutorial,title_has_review,title_has_unboxing,title_has_vlog,title_has_challenge,title_has_reaction,title_has_how_to,title_has_tips,title_has_tricks,viewership_category,is_viral,engagement_level,view_score,engagement_score,success_score
1GGT4g-61-Q,අප්පච්චි වගේම නැතැයි දුවත් 😁 #tvderana #deranalk #shortrs #iskole,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 12:00:04+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'iskole shorts', 'derana shorts']",,https://i.ytimg.com/vi/1GGT4g-61-Q/hqdefault.jpg,91,3,0,74,hd,False,public,processed,2025-07-23 17:30:04+05:30,65,368,11,0.03260869565217391,0.0,0.03260869565217391,2025-07-23T18:14:27.589696,2025-07-23,news_media,9,34,1.2333333333333334,short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,17,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.0,False,False,False,False,False,False,False,False,False,low,0,medium,4.517109218465162e-06,0.17995578481945465,0.053989897422289324
V_1KHsBr0PE,ඇමති පුතාට ඒ වචන ටිකනම් සැරටම වැදුනා 😂 #reelsshorts #tvderana #deranalk #sangeethe #shorts,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK #sangeetheteledrama,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 11:30:26+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'sangeethe', 'sangeethe season 2', 'sangeethe shorts']",,https://i.ytimg.com/vi/V_1KHsBr0PE/hqdefault.jpg,321,18,0,55,hd,False,public,processed,2025-07-23 17:00:26+05:30,90,408,12,0.055900621118012424,0.0,0.055900621118012424,2025-07-23T18:14:27.589696,2025-07-23,news_media,13,37,0.9166666666666666,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,17,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.0,False,False,False,False,False,False,False,False,False,low,0,high,1.6323190130362744e-05,0.30849563111906514,0.09256011556881079
es-PUEwi74M,මහාරාණි | ජුලි 28 සඳුදා සිට රාත්රී 9.30 ට,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE \ #derananlk #TVDerana #Maharani,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 11:01:11+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'derana new drama', 'maharani', 'maharani new darama']",,https://i.ytimg.com/vi/es-PUEwi74M/hqdefault.jpg,867,53,4,70,hd,False,public,processed,2025-07-23 16:31:11+05:30,41,401,12,0.06105990783410138,0.004608294930875576,0.06566820276497695,2025-07-23T18:14:27.593918,2025-07-23,news_media,9,38,1.1666666666666667,short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.0,False,False,False,False,False,False,False,False,False,low,0,high,4.434979959947614e-05,0.362399437631805,0.10875087614926113
oiTTd0jjS84,මොකද බන් මේ? 😌 #tvderana #deweniinima #reels #shorts,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK #deweniinimateledrama,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 11:01:30+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'deweni inima shorts']",,https://i.ytimg.com/vi/oiTTd0jjS84/hqdefault.jpg,1924,164,1,52,hd,False,public,processed,2025-07-23 16:31:30+05:30,52,410,10,0.0851948051948052,0.0005194805194805195,0.08571428571428572,2025-07-23T18:14:27.593918,2025-07-23,news_media,8,37,0.8666666666666667,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,1,0.0,False,False,False,False,False,False,False,False,False,medium_low,0,high,9.860644100763155e-05,0.47302663438256654,0.14197701482347527
5NLldjaVNb8,නන්දා සුරම්යා උනේ කොහොමද? 🙄 #tvderana #deranalk #shorts #sithanidina,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 10:45:01+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'derana shorts', 'sitha nidi na shorts']",,https://i.ytimg.com/vi/5NLldjaVNb8/hqdefault.jpg,742,52,0,76,hd,False,public,processed,2025-07-23 16:15:01+05:30,68,368,11,0.06998654104979811,0.0,0.06998654104979811,2025-07-23T18:14:27.593918,2025-07-23,news_media,9,34,1.2666666666666666,short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,1,0.0,False,False,False,False,False,False,False,False,False,low,0,high,3.793345127779267e-05,0.3862308095900722,0.11589579629291612
9Owrprb06PA,ඒක නම් හොඳ තීරණයක් නෙමෙයි #tvderana #deranalk #prarthana,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK #prarthana,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 10:35:15+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'prarthana', 'prarthana shorts', 'derana shorts']",,https://i.ytimg.com/vi/9Owrprb06PA/hqdefault.jpg,546,30,0,44,hd,False,public,processed,2025-07-23 16:05:15+05:30,56,399,12,0.054844606946983544,0.0,0.054844606946983544,2025-07-23T18:14:27.593918,2025-07-23,news_media,8,37,0.7333333333333333,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.0,False,False,False,False,False,False,False,False,False,low,0,high,2.787261710939299e-05,0.30266786477860746,0.09081987026555881
ZqIP2z4Z8hY,අනුන්ගේ දේපල වලින් ඔක්කොම ගොඩයන්න කල්පනාව #tvderana #deranalk #nikinikusum #shorts,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK #nikinikusum,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 10:36:07+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'nikini kusum', 'nikini kusum shorts', 'derana shorts']",,https://i.ytimg.com/vi/ZqIP2z4Z8hY/hqdefault.jpg,491,29,0,57,hd,False,public,processed,2025-07-23 16:06:07+05:30,82,401,12,0.05894308943089431,0.0,0.05894308943089431,2025-07-23T18:14:27.593918,2025-07-23,news_media,10,37,0.95,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.0,False,False,False,False,False,False,False,False,False,low,0,high,2.5049423847852263e-05,0.3252859308254099,0.09760331384431647
vVIJicG4FUA,ලිහලා බලන්න ඕනි මල්ල ඔබලා බලන්න ඕනි නෑනෙ! 🙄 #tvderana #deranalk #shorts #sithanidina,Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 10:34:17+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'derana shorts', 'sitha nidi na shorts']",,https://i.ytimg.com/vi/vVIJicG4FUA/hqdefault.jpg,403,19,0,59,hd,False,public,processed,2025-07-23 16:04:17+05:30,84,368,11,0.04702970297029703,0.0,0.04702970297029703,2025-07-23T18:14:27.593918,2025-07-23,news_media,13,34,0.9833333333333333,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,16,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,1,0,0.0,False,False,False,False,False,False,False,False,False,low,0,medium,2.05323146293871e-05,0.2595401913072663,0.07787643001242045
N5dDpFugQ18,ගෑනුත් එක්ක ඉන්නවට වඩා සතුටින් අපිට ඉන්න තිබ්බා! | Sitha Nidi Na,ගෑනුත් එක්ක ඉන්නවට වඩා සතුටින් අපිට ඉන්න තිබ්බා! | Sitha Nidi Na Episode: https://youtu.be/y4btthhARXI Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 09:53:59+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New']",,https://i.ytimg.com/vi/N5dDpFugQ18/hqdefault.jpg,435,10,0,97,hd,False,public,processed,2025-07-23 15:23:59+05:30,64,491,9,0.022935779816513763,0.0,0.022935779816513763,2025-07-23T18:14:27.593918,2025-07-23,news_media,12,50,1.6166666666666667,short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,15,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,1,0,0.046875,False,False,False,False,False,False,False,False,False,low,0,medium,2.217489979973807e-05,0.1265744052246929,0.037987843997267685
xmRAb40ahv0,Derana Ride Star Cricket Carnival | Season 02 | අගෝස්තු 02 දහවල් 12.30 සිට දෙරණෙන්..,Derana Ride Star Cricket Carnival | Season 02 අගෝස්තු 02 දහවල් 12.30 සිට දෙරණෙන්.. Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #DeranaLK #DeranaLK #starcricketcarnival,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 09:45:06+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New']",,https://i.ytimg.com/vi/xmRAb40ahv0/hqdefault.jpg,122,1,0,44,hd,False,public,processed,2025-07-23 15:15:06+05:30,84,492,9,0.008130081300813009,0.0,0.008130081300813009,2025-07-23T18:14:27.593918,2025-07-23,news_media,15,51,0.7333333333333333,very_short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,15,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,low,0,low,6.108363602242663e-06,0.04486702494143586,0.013464383336952327
OLiAPLLttnA,තාත්තා නම් වැඩේට කැමතියි | Prarthana,Episode 👉 https://youtu.be/o6CA1XH3rCo තාත්තා නම් වැඩේට කැමතියි | Prarthana Watch TV Derana Programmes & More Updates https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A Follow us on 🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial 🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana 🔗 Twitter 👉🏼 https://twitter.com/tvderana 🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial TV Derana SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE #TVDerana #DeranaLK #prarthana,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,2025-07-23 09:12:31+00:00,24,"['TV Derana', 'Derana TV', 'Derana Teledramas', 'DeranaLK', 'TV Derana Offcial', 'Derana Programs', 'Derana Entertainment', 'Derana Viral Clips', 'Tv Derana New', 'new drama', 'new teledarama', 'Harsha Udakanda', 'Shalini Fernando', 'Lahiru Prabath Rathnayake', 'Emasha Senevirathne', 'Nilanthi Dias', 'derana new teledrama', 'prarthana teledarama', 'derana teledrama', 'ප්\u200dරාර්ථනා', 'Prarthana', 'prarthana teledarama today', 'prarthana teledarama yesterday']",,https://i.ytimg.com/vi/OLiAPLLttnA/hqdefault.jpg,350,4,0,179,hd,False,public,processed,2025-07-23 14:42:31+05:30,36,475,23,0.011396011396011397,0.0,0.011396011396011397,2025-07-23T18:14:27.593918,2025-07-23,news_media,6,46,2.9833333333333334,short,Entertainment,5900000,37341,154917.66441712863,mega,2025,7,23,14,2,204,30,False,3,afternoon,0,0.0,0.0,0.0,0,0,0.027777777777777776,False,False,False,False,False,False,False,False,False,low,0,low,1.781178294099331e-05,0.06289053068714086,0.018879627454200954
